iter	Passed	Remaining
0	3	329
1	5	291
2	8	273
3	10	243
4	12	230
5	14	220
6	15	211
7	18	208
8	20	204
9	22	203
10	25	202
11	27	201
12	29	197
13	31	195
14	34	193
15	36	192
16	39	190
17	40	186
18	43	183
19	45	180
20	46	175
21	48	171
22	50	169
23	52	165
24	53	161
25	55	156
26	57	154
27	58	150
28	59	145
29	60	142
30	62	139
31	64	136
32	65	133
33	66	129
34	68	126
35	69	123
36	70	119
37	71	116
38	72	113
39	73	110
40	74	107
41	74	103
42	76	100
43	77	98
44	78	95
45	79	93
46	80	90
47	81	88
48	82	85
49	83	83
50	84	80
51	85	78
52	86	76
53	87	74
54	87	71
55	88	69
56	89	67
57	91	65
58	92	64
59	93	62
60	94	60
61	95	58
62	96	56
63	97	55
64	98	53
65	100	51
66	101	49
67	102	48
68	103	46
69	104	44
70	105	43
71	106	41
72	107	39
73	108	38
74	109	36
75	110	34
76	111	33
77	112	31
78	113	30
79	114	28
80	115	26
81	115	25
82	116	23
83	117	22
84	118	20
85	119	19
86	121	18
87	122	16
88	124	15
89	125	13
90	125	12
91	126	11
92	127	9
93	128	8
94	129	6
95	129	5
96	130	4
97	131	2
98	132	1
99	133	0
