iter	Passed	Remaining
0	3	3127
1	4	2471
2	6	2207
3	8	2169
4	10	2051
5	12	2051
6	13	1948
7	15	1878
8	16	1824
9	18	1791
10	19	1773
11	21	1751
12	22	1715
13	23	1677
14	25	1671
15	27	1663
16	28	1659
17	30	1661
18	31	1643
19	33	1636
20	34	1626
21	36	1618
22	37	1610
23	38	1584
24	40	1560
25	41	1543
26	48	1743
27	49	1728
28	50	1695
29	51	1678
30	53	1665
31	54	1657
32	56	1657
33	57	1632
34	58	1612
35	59	1594
36	60	1574
37	61	1565
38	63	1553
39	64	1541
40	65	1525
41	66	1506
42	67	1496
43	68	1485
44	69	1473
45	70	1462
46	71	1447
47	72	1436
48	73	1430
49	75	1428
50	76	1428
51	78	1423
52	78	1410
53	79	1396
54	80	1382
55	81	1376
56	82	1370
57	84	1365
58	85	1361
59	86	1354
60	87	1349
61	88	1343
62	90	1339
63	91	1332
64	92	1326
65	93	1319
66	94	1315
67	95	1308
68	96	1303
69	98	1303
70	99	1296
71	100	1294
72	101	1289
73	102	1284
74	103	1280
75	104	1275
76	106	1271
77	107	1268
78	108	1263
79	109	1258
80	110	1255
81	111	1248
82	112	1240
83	113	1236
84	114	1235
85	115	1230
86	116	1226
87	118	1222
88	119	1218
89	120	1215
90	121	1211
91	122	1209
92	123	1203
93	124	1200
94	125	1196
95	126	1193
96	128	1192
97	129	1188
98	130	1186
99	131	1182
100	132	1180
101	133	1178
102	135	1176
103	135	1171
104	137	1169
105	138	1165
106	139	1160
107	140	1158
108	142	1162
109	143	1161
110	145	1162
111	146	1160
112	147	1160
113	149	1160
114	150	1157
115	151	1154
116	152	1149
117	153	1149
118	154	1145
119	156	1144
120	157	1141
121	158	1138
122	159	1135
123	160	1133
124	161	1129
125	162	1128
126	163	1125
127	165	1124
128	167	1128
129	168	1126
130	169	1126
131	170	1123
132	171	1121
133	173	1120
134	174	1118
135	175	1117
136	177	1118
137	178	1114
138	179	1110
139	180	1108
140	181	1104
141	181	1098
142	182	1095
143	184	1094
144	185	1091
145	186	1088
146	187	1085
147	188	1083
148	189	1082
149	190	1079
150	191	1078
151	192	1076
152	193	1073
153	195	1071
154	195	1068
155	196	1064
156	197	1062
157	198	1059
158	199	1057
159	200	1053
160	201	1049
161	202	1046
162	203	1042
163	203	1038
164	204	1035
165	205	1031
166	206	1029
167	207	1027
168	208	1025
169	209	1023
170	210	1021
171	211	1019
172	212	1017
173	213	1014
174	214	1012
175	215	1010
176	216	1008
177	217	1006
178	218	1003
179	219	1001
180	221	1000
181	222	999
182	223	997
183	224	996
184	225	993
185	226	990
186	227	987
187	228	986
188	229	984
189	230	981
190	231	979
191	232	977
192	233	975
193	234	972
194	235	970
195	236	968
196	237	966
197	238	964
198	239	962
199	240	960
200	240	957
201	241	955
202	242	953
203	243	951
204	244	948
205	245	946
206	246	944
207	247	942
208	248	939
209	249	937
210	250	935
211	251	934
212	252	932
213	253	930
214	254	929
215	255	927
216	256	925
217	257	923
218	258	920
219	259	918
220	260	916
221	260	914
222	261	912
223	262	909
224	263	907
225	264	905
226	265	904
227	266	901
228	267	899
229	268	897
230	269	895
231	269	893
232	270	891
233	271	889
234	272	887
235	273	886
236	274	884
237	275	882
238	276	880
239	277	878
240	278	876
241	279	874
242	280	872
243	281	871
244	282	869
245	282	867
246	283	865
247	284	863
248	285	861
249	286	859
250	287	857
251	288	855
252	288	853
253	289	850
254	290	849
255	291	847
256	292	845
257	293	843
258	294	841
259	294	839
260	296	838
261	297	836
262	298	835
263	299	833
264	299	831
265	300	829
266	301	828
267	302	826
268	303	825
269	304	823
270	305	821
271	306	819
272	307	818
273	308	816
274	308	814
275	309	813
276	311	812
277	313	813
278	314	812
279	316	812
280	317	812
281	318	812
282	319	810
283	320	808
284	321	806
285	322	804
286	323	802
287	324	801
288	325	799
289	325	798
290	326	796
291	327	794
292	328	792
293	329	791
294	330	789
295	331	788
296	332	786
297	332	784
298	333	782
299	334	780
300	335	779
301	336	777
302	338	778
303	339	777
304	340	775
305	341	773
306	341	772
307	342	770
308	343	768
309	344	766
310	345	764
311	345	762
312	346	761
313	347	759
314	348	758
315	349	756
316	350	755
317	351	753
318	352	751
319	353	750
320	353	748
321	355	748
322	357	749
323	359	750
324	362	752
325	364	753
326	367	755
327	369	756
328	371	757
329	373	758
330	375	758
331	377	760
332	380	761
333	382	762
334	384	763
335	386	764
336	389	765
337	391	766
338	393	767
339	395	768
340	398	769
341	400	770
342	402	771
343	404	771
344	406	772
345	408	773
346	411	773
347	412	773
348	415	774
349	417	775
350	419	775
351	421	776
352	423	776
353	425	777
354	428	778
355	430	778
356	432	779
357	434	779
358	437	780
359	438	780
360	440	780
361	442	780
362	444	780
363	447	781
364	448	781
365	450	780
366	452	780
367	454	780
368	455	779
369	457	778
370	458	778
371	460	777
372	461	776
373	463	775
374	464	773
375	465	772
376	467	771
377	468	770
378	469	769
379	470	768
380	472	767
381	473	765
382	474	764
383	475	763
384	477	762
385	478	760
386	479	759
387	481	758
388	482	757
389	483	756
390	485	755
391	486	754
392	487	753
393	489	752
394	490	751
395	491	749
396	492	748
397	494	747
398	495	745
399	495	743
400	497	742
401	498	741
402	499	739
403	500	737
404	501	736
405	502	735
406	503	733
407	504	731
408	505	730
409	506	728
410	506	726
411	507	724
412	508	723
413	509	721
414	510	719
415	511	718
416	513	717
417	514	716
418	515	714
419	516	713
420	517	711
421	518	710
422	519	709
423	520	707
424	521	705
425	522	703
426	523	702
427	524	701
428	525	699
429	526	698
430	528	697
431	529	695
432	529	693
433	530	692
434	532	691
435	532	689
436	534	688
437	535	686
438	536	685
439	537	684
440	538	682
441	539	681
442	540	679
443	541	677
444	542	676
445	543	675
446	544	674
447	545	672
448	547	671
449	547	669
450	549	668
451	550	667
452	551	665
453	552	663
454	553	662
455	554	661
456	555	659
457	556	658
458	557	657
459	558	655
460	559	654
461	560	653
462	561	651
463	562	650
464	563	648
465	565	647
466	565	645
467	566	644
468	567	642
469	568	641
470	569	639
471	570	637
472	571	636
473	571	634
474	573	633
475	574	631
476	575	630
477	576	629
478	577	627
479	578	626
480	579	624
481	580	623
482	581	622
483	582	620
484	583	619
485	584	618
486	585	616
487	586	615
488	586	613
489	588	612
490	588	610
491	589	609
492	591	607
493	592	606
494	592	604
495	593	603
496	595	602
497	595	600
498	596	599
499	597	597
500	598	596
501	599	594
502	599	592
503	600	591
504	601	589
505	602	588
506	603	587
507	604	585
508	605	583
509	606	582
510	606	580
511	607	579
512	608	577
513	609	575
514	609	574
515	610	572
